candidate	ERR14872774_RPM	ERR14872775_RPM	ERR14872776_RPM	ERR14872777_RPM	ERR14872778_RPM	ERR14872779_RPM	ERR14872780_RPM	ERR14872781_RPM	ERR14872782_RPM
ERR14872774_NODE_186_length_52281_cov_9.344311	161.896	7.576	0.776	0.810	1.007	0.937	0.731	18.955	0.750
ERR14872774_NODE_308_length_35770_cov_8.509366	104.023	3.632	1.939	1.060	0.652	1.124	1.559	14.067	1.095
ERR14872774_NODE_333_length_34521_cov_9.769512	113.935	3.528	0.129	0.374	0.592	0.562	0.487	15.319	1.326
ERR14872774_NODE_75_length_82753_cov_9.842596	277.323	15.048	2.779	2.680	3.554	7.871	2.680	39.936	8.764
ERR14872777_NODE_101_length_54692_cov_19.724985	2.718	19.614	10.405	429.039	2.606	2.811	5.701	15.200	17.585
ERR14872777_NODE_106_length_53522_cov_16.453102	12.683	40.369	24.882	390.461	11.374	21.364	27.189	25.333	88.848
ERR14872777_NODE_111_length_52561_cov_10.705310	0.959	0.415	0.582	238.141	1.185	0.812	0.828	0.596	1.499
ERR14872777_NODE_117_length_50263_cov_15.779637	136.423	146.119	202.739	565.716	140.632	81.020	76.693	313.591	495.151
ERR14872777_NODE_118_length_50144_cov_20.226856	0.000	0.415	1.616	398.625	0.237	0.187	1.023	1.252	9.859
ERR14872777_NODE_145_length_45216_cov_10.567835	1.013	1.038	0.776	208.350	1.066	0.937	2.095	1.729	2.595
ERR14872777_NODE_155_length_43533_cov_19.968398	0.693	1.038	2.779	339.480	0.592	0.937	2.339	1.013	0.115
ERR14872777_NODE_20_length_137217_cov_20.093298	44.764	432.855	339.558	1265.741	17.475	25.674	46.922	226.327	153.884
ERR14872777_NODE_216_length_35230_cov_18.204805	142.392	10.793	14.089	319.598	235.709	76.647	25.678	27.121	35.977
ERR14872777_NODE_249_length_32110_cov_20.287506	1.492	32.794	34.447	273.541	8.530	12.181	10.476	27.002	7.322
ERR14872777_NODE_57_length_78156_cov_19.025800	1.705	1.038	4.007	602.799	1.362	0.687	1.218	3.636	18.392
ERR14872777_NODE_78_length_64484_cov_17.242375	0.373	0.726	1.163	446.989	1.718	0.875	1.169	0.715	67.919
ERR14872777_NODE_8_length_176732_cov_16.217617	5.755	21.689	14.154	1158.668	12.795	8.808	16.810	15.736	182.828
ERR14872779_NODE_157_length_56008_cov_8.994245	7.247	7.057	4.912	16.329	16.883	205.455	21.244	7.391	6.169
ERR14872781_NODE_137_length_51994_cov_10.210324	22.382	44.728	48.536	20.255	11.729	0.812	0.439	150.984	162.244
ERR14872781_NODE_164_length_46454_cov_6.790211	0.746	91.739	14.541	3.615	1.422	0.500	2.485	119.511	13.376
ERR14872781_NODE_192_length_41414_cov_9.182886	15.081	29.058	34.899	15.145	12.144	1.312	3.021	100.199	101.648
ERR14872781_NODE_279_length_31534_cov_6.804505	0.160	58.842	10.470	4.799	1.303	0.937	6.529	79.933	15.740
ERR14872782_NODE_108_length_40404_cov_9.332623	14.069	32.690	30.505	12.527	12.499	1.562	3.216	87.562	97.554
ERR14872782_NODE_132_length_37257_cov_6.233509	0.320	1.142	0.323	15.332	5.687	1.062	0.390	1.252	85.792
ERR14872782_NODE_68_length_51457_cov_9.528112	20.943	40.888	41.556	14.708	11.255	0.437	0.341	125.651	137.049
ERR14872782_NODE_69_length_49813_cov_6.244564	0.586	0.623	0.259	18.136	8.353	1.374	0.828	1.729	114.390
