query	taxonomy_majority	taxonomy_strict	species	genus	family	order	class	phylum	domain	avgdist	order_dup	estimated_completeness	estimated_contamination	contamination_type	gvog4_unique	gvog8_unique	gvog8_total	gvog8_dup	ncldv_mcp_total	mcp_total	vp_completeness	vp_mcp	plv	vp_df	mirus_completeness	mirus_df	mrya_unique	mrya_total	phage_unique	phage_total	cellular_dup	contigs	LENbp	GCperc	genecount	CODINGperc	ttable
ERR14872774_NODE_186_length_52281_cov_9.344311	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_	NCLDV__S592:1(50.00%),NCLDV__S1043:1(50.00%)	NCLDV__g300:2(100.00%)	NCLDV__IM_12:2(100.00%)	NCLDV__Imitervirales:2(100.00%)	NCLDV__Megaviricetes:2(100.00%)	NCLDV__Nucleocytoviricota:2(100.00%)	NCLDV:2(100.00%)	0.23	1.00	43.57	1.95	clean	1	2	2	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	1.00	1	52281	25.05	57	93.80	codemeta
ERR14872774_NODE_308_length_35770_cov_8.509366	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_S1043	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_	NCLDV__S1043:4(57.14%),NCLDV__singleton:3(42.86%)	NCLDV__g300:7(100.00%)	NCLDV__IM_12:7(100.00%)	NCLDV__Imitervirales:7(100.00%)	NCLDV__Megaviricetes:7(100.00%)	NCLDV__Nucleocytoviricota:7(100.00%)	NCLDV:7(100.00%)	0.07	1.00	34.53	1.95	clean	0	1	1	1.00	2	2	0/4	0	0	0.00	0/4	0.00	2	3	0	0	1.00	1	35770	25.47	37	94.55	codemeta
ERR14872774_NODE_333_length_34521_cov_9.769512	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_	NCLDV__S2209:1(50.00%),NCLDV__S883:1(50.00%)	NCLDV__g300:2(100.00%)	NCLDV__IM_12:2(100.00%)	NCLDV__Imitervirales:2(100.00%)	NCLDV__Megaviricetes:2(100.00%)	NCLDV__Nucleocytoviricota:2(100.00%)	NCLDV:2(100.00%)	0.27	1.00	29.27	1.93	clean	1	1	1	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	1.00	1	34521	27.07	32	92.27	106
ERR14872774_NODE_75_length_82753_cov_9.842596	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_singleton	d_;p_;c_;o_;f_;g_;s_	NCLDV__singleton:5(55.56%),NCLDV__S1043:2(22.22%),NCLDV__S1572:1(11.11%),ARC__JANXER01 sp029887765:1(11.11%)	NCLDV__g300:7(77.78%),NCLDV__g175:1(11.11%),ARC__JANXER01:1(11.11%)	NCLDV__IM_12:7(77.78%),NCLDV__AG_04:1(11.11%),ARC__Methanomethylicaceae:1(11.11%)	NCLDV__Imitervirales:7(77.78%),NCLDV__Algavirales:1(11.11%),ARC__Methanomethylicales:1(11.11%)	NCLDV__Megaviricetes:8(88.89%),ARC__Methanomethylicia:1(11.11%)	NCLDV__Nucleocytoviricota:8(88.89%),ARC__Thermoproteota:1(11.11%)	NCLDV:8(88.89%),ARC:1(11.11%)	0.68	1.00	41.79	0.07	clean	2	2	2	1.00	1	1	0/4	0	0	0.00	0/4	0.00	2	2	0	0	0.80	1	82753	25.77	86	95.06	codemeta
ERR14872777_NODE_101_length_54692_cov_19.724985	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g1905;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g1905;s_singleton	NCLDV__singleton:4(100.00%)	NCLDV__g1905:4(100.00%)	NCLDV__IM_12:4(100.00%)	NCLDV__Imitervirales:4(100.00%)	NCLDV__Megaviricetes:4(100.00%)	NCLDV__Nucleocytoviricota:4(100.00%)	NCLDV:4(100.00%)	0.16	0.00	22.86	1.96	clean	0	1	1	1.00	1	1	0/4	0	0	0.00	0/4	0.00	2	2	0	0	0	1	54692	28.45	46	93.15	129
ERR14872777_NODE_106_length_53522_cov_16.453102	d_NCLDV;p_Nucleocytoviricota;c_NA;o_Asfuvirales;f_A02;g_g_;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_NA;o_Asfuvirales;f_A02;g_g_;s_singleton	NCLDV__singleton:1(100.00%)	NCLDV__g_:1(100.00%)	NCLDV__A02:1(100.00%)	NCLDV__Asfuvirales:1(100.00%)	NCLDV__NA:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	1.79	1.00	19.58	1.91	clean	0	1	1	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	53522	22.24	38	93.70	129
ERR14872777_NODE_111_length_52561_cov_10.705310	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_01;g_g342;s_	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_01;g_g342;s_	NCLDV__S2296:1(50.00%),NCLDV__S51:1(50.00%)	NCLDV__g342:2(100.00%)	NCLDV__IM_01:2(100.00%)	NCLDV__Imitervirales:2(100.00%)	NCLDV__Megaviricetes:2(100.00%)	NCLDV__Nucleocytoviricota:2(100.00%)	NCLDV:2(100.00%)	0.44	1.00	32.48	1.93	clean	1	2	2	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	52561	22.82	54	95.47	4
ERR14872777_NODE_117_length_50263_cov_15.779637	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_16;g_g229;s_S1493	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_16;g_g229;s_S1493	NCLDV__S1493:1(100.00%)	NCLDV__g229:1(100.00%)	NCLDV__IM_16:1(100.00%)	NCLDV__Imitervirales:1(100.00%)	NCLDV__Megaviricetes:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	0.87	0.00	21.76	1.96	clean	0	0	0	0	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	1.00	1	50263	22.48	36	88.68	106
ERR14872777_NODE_118_length_50144_cov_20.226856	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_03;g_g930;s_singleton	d_;p_;c_;o_;f_;g_;s_	NCLDV__singleton:9(75.00%),PLV__MCP in Pyramimonas sp CCMP1952:1(8.33%),EUK__Longamoebia sp.2 P10K:1(8.33%),NCLDV__S1282:1(8.33%)	NCLDV__g930:8(66.67%),PLV__MCP in Pyramimonas:1(8.33%),NCLDV__g929:1(8.33%),EUK__Longamoebia:1(8.33%),NCLDV__g197:1(8.33%)	NCLDV__AG_03:10(83.33%),PLV__NA:1(8.33%),EUK__NA:1(8.33%)	NCLDV__Algavirales:10(83.33%),PLV__MCP in Pyramimonadales:1(8.33%),EUK__NA:1(8.33%)	NCLDV__Megaviricetes:10(83.33%),PLV__MCP in Pyramimonadales:1(8.33%),EUK__NA:1(8.33%)	NCLDV__Nucleocytoviricota:10(83.33%),PLV__MCP in Chlorophyta:1(8.33%),EUK__Amoebozoa:1(8.33%)	NCLDV:10(83.33%),PLV:1(8.33%),EUK:1(8.33%)	0.48	1.09	62.62	1.93	clean	1	4	4	1.00	2	2	1/4	0	1	0.25	0/4	0.00	3	4	0	0	0	1	50144	43.37	65	87.29	1
ERR14872777_NODE_145_length_45216_cov_10.567835	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_01;g_g342;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_;o_Imitervirales;f_;g_;s_	NCLDV__singleton:4(80.00%),NCLDV__S51:1(20.00%)	NCLDV__g342:3(60.00%),NCLDV__g301:2(40.00%)	NCLDV__IM_01:3(60.00%),NCLDV__IM_12:2(40.00%)	NCLDV__Imitervirales:5(100.00%)	NCLDV__Megaviricetes:3(60.00%),NCLDV__NA:2(40.00%)	NCLDV__Nucleocytoviricota:5(100.00%)	NCLDV:5(100.00%)	0.17	1.00	49.95	1.92	clean	0	2	2	1.00	1	1	0/4	0	0	0.00	0/4	0.00	2	2	0	0	0	1	45216	23.52	55	92.97	codemeta
