"candidate","tigtog_order","gvclass_order","gvclass_order_raw","gvclass_majority_raw","agreement"
"ERR14872774_NODE_186","Imitervirales","Imitervirales","NCLDV__Imitervirales:2(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_","Agree"
"ERR14872774_NODE_308","Imitervirales","Imitervirales","NCLDV__Imitervirales:7(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_S1043","Agree"
"ERR14872774_NODE_75","Imitervirales","Imitervirales","NCLDV__Imitervirales:7(77.78%),NCLDV__Algavirales:1(11.11%),ARC__Methanomethylicales:1(11.11%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_singleton","Agree"
"ERR14872777_NODE_101","Imitervirales","Imitervirales","NCLDV__Imitervirales:4(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g1905;s_singleton","Agree"
"ERR14872777_NODE_111","Imitervirales","Imitervirales","NCLDV__Imitervirales:2(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_01;g_g342;s_","Agree"
"ERR14872777_NODE_118","Algavirales","Algavirales","NCLDV__Algavirales:10(83.33%),PLV__MCP in Pyramimonadales:1(8.33%),EUK__NA:1(8.33%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_03;g_g930;s_singleton","Agree"
"ERR14872777_NODE_145","Imitervirales","Imitervirales","NCLDV__Imitervirales:5(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_01;g_g342;s_singleton","Agree"
"ERR14872777_NODE_20","Imitervirales","Imitervirales","NCLDV__Imitervirales:10(76.92%),PLV__NA:1(7.69%),EUK__NA:1(7.69%),EUK__Synurales:1(7.69%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_;s_singleton","Agree"
"ERR14872781_NODE_137","Algavirales","Algavirales","NCLDV__Algavirales:5(83.33%),NCLDV__NA:1(16.67%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_","Agree"
"ERR14872781_NODE_164","Algavirales","Algavirales","NCLDV__Algavirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g172;s_S386","Agree"
"ERR14872781_NODE_192","Algavirales","Algavirales","NCLDV__Algavirales:3(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_g1068;s_S31","Agree"
"ERR14872782_NODE_108","Algavirales","Algavirales","NCLDV__Algavirales:3(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_g1068;s_S31","Agree"
"ERR14872782_NODE_132","Algavirales","Algavirales","NCLDV__Algavirales:9(90.00%),PLV__NA:1(10.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_;s_","Agree"
"ERR14872782_NODE_68","Algavirales","Algavirales","NCLDV__Algavirales:5(83.33%),NCLDV__NA:1(16.67%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_","Agree"
"ERR14872777_NODE_249","Not_GV","No confident order-level call","","d_;p_;c_;o_;f_;g_;s_","Both: no signal"
"ERR14872779_NODE_157","Not_GV","No confident order-level call","","d_;p_;c_;o_;f_;g_;s_","Both: no signal"
"ERR14872777_NODE_78","Imitervirales","No confident order-level call","NCLDV__Asfuvirales:2(40.00%),EUK__NA:1(20.00%),NCLDV__Pimascovirales:1(20.00%),NCLDV__MCP in Euglenales:1(20.00%)","d_NCLDV;p_Nucleocytoviricota;c_;o_;f_;g_;s_","GVClass: no confident order call"
"ERR14872777_NODE_8","Asfuvirales","No confident order-level call","EUK__NA:3(25.00%),NCLDV__Asfuvirales:3(25.00%),NCLDV__Pimascovirales:2(16.67%),PLV__MCP in Euglenales:1(8.33%),EUK__Pythiales:1(8.33%),NCLDV__NA:1(8.33%),EUK__Euglenales:1(8.33%)","d_;p_;c_;o_;f_;g_;s_","GVClass: no confident order call"
"ERR14872774_NODE_333","Not_GV","Imitervirales","NCLDV__Imitervirales:2(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g300;s_","Disagree"
"ERR14872777_NODE_106","Not_GV","Asfuvirales","NCLDV__Asfuvirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_NA;o_Asfuvirales;f_A02;g_g_;s_singleton","Disagree"
"ERR14872777_NODE_117","Not_GV","Imitervirales","NCLDV__Imitervirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_16;g_g229;s_S1493","Disagree"
"ERR14872777_NODE_155","Not_GV","Imitervirales","NCLDV__Imitervirales:2(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_;s_","Disagree"
"ERR14872777_NODE_216","Not_GV","Imitervirales","NCLDV__Imitervirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g303;s_singleton","Disagree"
"ERR14872777_NODE_57","Imitervirales","NA","EUK__NA:1(100.00%)","d_EUK;p_Ciliophora;c_NA;o_NA;f_NA;g_Telotrochidium;s_Telotrochidium sp.1 P10K","Disagree"
"ERR14872781_NODE_279","Not_GV","Algavirales","NCLDV__Algavirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g174;s_singleton","Disagree"
"ERR14872782_NODE_69","Algavirales","Imitervirales","NCLDV__Imitervirales:1(100.00%)","d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_06;g_g1658;s_singleton","Disagree"
