genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
ERR14872781_NODE_137_length_51994_cov_10.210324.fna,2.4073056149209027,NA,NA,NA,NA,NA,1_1,NA,NA,2,99.93,99.93,NA,NA
ERR14872781_NODE_192_length_41414_cov_9.182886.fna,2.3580895895814438,NA,NA,NA,NA,NA,2_1,NA,NA,2,99.95,99.95,NA,NA
ERR14872777_NODE_155_length_43533_cov_19.968398.fna,1.36940929841389,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_249_length_32110_cov_20.287506.fna,1.3033201527832514,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
ERR14872781_NODE_164_length_46454_cov_6.790211.fna,1.3835115577992128,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_106_length_53522_cov_16.453102.fna,1.414266166848633,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_8_length_176732_cov_16.217617.fna,1.6736575961036244,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
ERR14872774_NODE_186_length_52281_cov_9.344311.fna,1.4091719429577767,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
ERR14872774_NODE_308_length_35770_cov_8.509366.fna,1.3267594700744851,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
ERR14872774_NODE_333_length_34521_cov_9.769512.fna,1.3190416839067474,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
ERR14872774_NODE_75_length_82753_cov_9.842596.fna,1.5088918734887062,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_101_length_54692_cov_19.724985.fna,1.4189619025639162,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_111_length_52561_cov_10.705310.fna,1.4103318096528652,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_117_length_50263_cov_15.779637.fna,1.4006242031764575,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_118_length_50144_cov_20.226856.fna,1.400109487394248,NA,NA,NA,NA,NA,15_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_145_length_45216_cov_10.567835.fna,1.3776460700842323,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_20_length_137217_cov_20.093298.fna,1.6187039600178308,NA,NA,NA,NA,NA,17_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_216_length_35230_cov_18.204805.fna,1.3234563215906212,NA,NA,NA,NA,NA,18_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_57_length_78156_cov_19.025800.fna,1.4964811621108536,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
ERR14872777_NODE_78_length_64484_cov_17.242375.fna,1.4547259846532252,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
ERR14872779_NODE_157_length_56008_cov_8.994245.fna,1.4241250323219443,NA,NA,NA,NA,NA,21_0,NA,NA,1,NA,NA,NA,NA
ERR14872781_NODE_279_length_31534_cov_6.804505.fna,1.2993895316432968,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
ERR14872782_NODE_132_length_37257_cov_6.233509.fna,1.3356039409014275,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
ERR14872782_NODE_69_length_49813_cov_6.244564.fna,1.3986713490052372,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
