genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERR14872781_NODE_137_length_51994_cov_10.210324.fna,1_1,0.050000000000000044,average,fastANI,1
ERR14872782_NODE_68_length_51457_cov_9.528112.fna,1_1,0.050000000000000044,average,fastANI,1
ERR14872781_NODE_192_length_41414_cov_9.182886.fna,2_1,0.050000000000000044,average,fastANI,2
ERR14872782_NODE_108_length_40404_cov_9.332623.fna,2_1,0.050000000000000044,average,fastANI,2
ERR14872777_NODE_155_length_43533_cov_19.968398.fna,3_0,0.050000000000000044,average,fastANI,3
ERR14872777_NODE_249_length_32110_cov_20.287506.fna,4_0,0.050000000000000044,average,fastANI,4
ERR14872781_NODE_164_length_46454_cov_6.790211.fna,5_0,0.050000000000000044,average,fastANI,5
ERR14872777_NODE_106_length_53522_cov_16.453102.fna,6_0,0.050000000000000044,average,fastANI,6
ERR14872777_NODE_8_length_176732_cov_16.217617.fna,7_0,0.050000000000000044,average,fastANI,7
ERR14872774_NODE_186_length_52281_cov_9.344311.fna,8_0,0.050000000000000044,average,fastANI,8
ERR14872774_NODE_308_length_35770_cov_8.509366.fna,9_0,0.050000000000000044,average,fastANI,9
ERR14872774_NODE_333_length_34521_cov_9.769512.fna,10_0,0.050000000000000044,average,fastANI,10
ERR14872774_NODE_75_length_82753_cov_9.842596.fna,11_0,0.050000000000000044,average,fastANI,11
ERR14872777_NODE_101_length_54692_cov_19.724985.fna,12_0,0.050000000000000044,average,fastANI,12
ERR14872777_NODE_111_length_52561_cov_10.705310.fna,13_0,0.050000000000000044,average,fastANI,13
ERR14872777_NODE_117_length_50263_cov_15.779637.fna,14_0,0.050000000000000044,average,fastANI,14
ERR14872777_NODE_118_length_50144_cov_20.226856.fna,15_0,0.050000000000000044,average,fastANI,15
ERR14872777_NODE_145_length_45216_cov_10.567835.fna,16_0,0.050000000000000044,average,fastANI,16
ERR14872777_NODE_20_length_137217_cov_20.093298.fna,17_0,0.050000000000000044,average,fastANI,17
ERR14872777_NODE_216_length_35230_cov_18.204805.fna,18_0,0.050000000000000044,average,fastANI,18
ERR14872777_NODE_57_length_78156_cov_19.025800.fna,19_0,0.050000000000000044,average,fastANI,19
ERR14872777_NODE_78_length_64484_cov_17.242375.fna,20_0,0.050000000000000044,average,fastANI,20
ERR14872779_NODE_157_length_56008_cov_8.994245.fna,21_0,0.050000000000000044,average,fastANI,21
ERR14872781_NODE_279_length_31534_cov_6.804505.fna,22_0,0.050000000000000044,average,fastANI,22
ERR14872782_NODE_132_length_37257_cov_6.233509.fna,23_0,0.050000000000000044,average,fastANI,23
ERR14872782_NODE_69_length_49813_cov_6.244564.fna,24_0,0.050000000000000044,average,fastANI,24
